"","modGenes","module","colourRGB"
"6340","AARA009555","brown4","#8B2323"
"6341","AARA009556","orangered4","#8B2500"
"6342","AARA009564","purple","#A020F0"
"6343","AARA009568","grey","#BEBEBE"
"6344","AARA009569","midnightblue","#191970"
"6345","AARA009571","grey","#BEBEBE"
"6346","AARA009572","orange","#FFA500"
"6347","AARA009573","darkolivegreen","#556B2F"
"6348","AARA009575","grey","#BEBEBE"
"6349","AARA009576","grey","#BEBEBE"
"6350","AARA009578","brown","#A52A2A"
"6351","AARA009580","brown","#A52A2A"
"6352","AARA009581","brown","#A52A2A"
"6353","AARA009582","grey","#BEBEBE"
"6354","AARA009583","grey","#BEBEBE"
"6355","AARA009584","grey","#BEBEBE"
"6356","AARA009585","grey","#BEBEBE"
"6357","AARA009587","grey","#BEBEBE"
"6358","AARA009588","brown","#A52A2A"
"6359","AARA009589","brown","#A52A2A"
"6360","AARA009590","midnightblue","#191970"
"6361","AARA009593","grey","#BEBEBE"
"6362","AARA009597","salmon","#FA8072"
"6363","AARA009598","darkturquoise","#00CED1"
"6364","AARA009599","orange","#FFA500"
"6365","AARA009600","black","#000000"
"6366","AARA009601","brown","#A52A2A"
"6367","AARA009603","brown","#A52A2A"
"6368","AARA009604","salmon","#FA8072"
"6369","AARA009605","brown","#A52A2A"
"6370","AARA009606","salmon","#FA8072"
"6371","AARA009607","purple","#A020F0"
"6372","AARA009617","brown","#A52A2A"
"6373","AARA009618","black","#000000"
"6374","AARA009621","black","#000000"
"6375","AARA009624","salmon","#FA8072"
"6376","AARA009629","salmon","#FA8072"
"6377","AARA009630","grey","#BEBEBE"
"6378","AARA009632","salmon","#FA8072"
"6379","AARA009634","grey","#BEBEBE"
"6380","AARA009635","brown","#A52A2A"
"6381","AARA009636","orange","#FFA500"
"6382","AARA009637","grey","#BEBEBE"
"6383","AARA009638","purple","#A020F0"
"6384","AARA009645","darkorange","#FF8C00"
"6385","AARA009646","grey","#BEBEBE"
"6386","AARA009647","brown","#A52A2A"
"6387","AARA009648","brown","#A52A2A"
"6388","AARA009650","grey","#BEBEBE"
"6389","AARA009651","brown","#A52A2A"
"6390","AARA009652","orange","#FFA500"
"6391","AARA009653","salmon","#FA8072"
"6392","AARA009654","salmon","#FA8072"
"6393","AARA009655","greenyellow","#ADFF2F"
"6394","AARA009656","purple","#A020F0"
"6395","AARA009657","salmon","#FA8072"
"6396","AARA009658","salmon","#FA8072"
"6397","AARA009659","purple","#A020F0"
"6398","AARA009661","salmon","#FA8072"
"6399","AARA009662","salmon","#FA8072"
"6400","AARA009665","salmon","#FA8072"
"6401","AARA009667","grey","#BEBEBE"
"6402","AARA009670","darkorange","#FF8C00"
"6403","AARA009672","grey","#BEBEBE"
"6404","AARA009679","grey","#BEBEBE"
"6405","AARA009680","grey","#BEBEBE"
"6406","AARA009681","salmon","#FA8072"
"6407","AARA009683","brown","#A52A2A"
"6408","AARA009686","purple","#A020F0"
"6409","AARA009692","midnightblue","#191970"
"6410","AARA009693","grey","#BEBEBE"
"6411","AARA009694","brown","#A52A2A"
"6412","AARA009695","grey","#BEBEBE"
"6413","AARA009696","brown","#A52A2A"
"6414","AARA009699","salmon","#FA8072"
"6415","AARA009703","salmon","#FA8072"
"6416","AARA009704","salmon","#FA8072"
"6417","AARA009705","darkorange","#FF8C00"
"6418","AARA009706","darkorange","#FF8C00"
"6419","AARA009709","brown","#A52A2A"
"6420","AARA009710","midnightblue","#191970"
"6421","AARA009711","salmon","#FA8072"
"6422","AARA009712","salmon","#FA8072"
"6423","AARA009713","grey","#BEBEBE"
"6424","AARA009721","brown","#A52A2A"
"6425","AARA009722","salmon","#FA8072"
"6426","AARA009724","salmon","#FA8072"
"6427","AARA009725","salmon","#FA8072"
"6428","AARA009726","greenyellow","#ADFF2F"
"6429","AARA009727","grey","#BEBEBE"
"6430","AARA009728","grey","#BEBEBE"
"6431","AARA009729","brown","#A52A2A"
"6432","AARA009730","darkorange","#FF8C00"
"6433","AARA009731","grey","#BEBEBE"
"6434","AARA009732","midnightblue","#191970"
"6435","AARA009733","grey","#BEBEBE"
"6436","AARA009734","grey","#BEBEBE"
"6437","AARA009735","orangered4","#8B2500"
"6438","AARA009737","salmon","#FA8072"
"6439","AARA009738","darkturquoise","#00CED1"
"6440","AARA009739","darkmagenta","#8B008B"
"6441","AARA009745","brown","#A52A2A"
"6442","AARA009746","brown","#A52A2A"
"6443","AARA009747","brown","#A52A2A"
"6444","AARA009748","darkorange","#FF8C00"
"6445","AARA009749","purple","#A020F0"
"6446","AARA009750","purple","#A020F0"
"6447","AARA009751","brown","#A52A2A"
"6448","AARA009752","salmon","#FA8072"
"6449","AARA009754","salmon","#FA8072"
"6450","AARA009755","salmon","#FA8072"
"6451","AARA009757","purple","#A020F0"
"6452","AARA009758","orange","#FFA500"
"6453","AARA009760","salmon","#FA8072"
"6454","AARA009764","salmon","#FA8072"
"6455","AARA009765","purple","#A020F0"
"6456","AARA009769","salmon","#FA8072"
"6457","AARA009770","salmon","#FA8072"
"6458","AARA009771","black","#000000"
"6459","AARA009774","grey","#BEBEBE"
"6460","AARA009775","darkturquoise","#00CED1"
"6461","AARA009776","midnightblue","#191970"
"6462","AARA009777","salmon","#FA8072"
"6463","AARA009779","brown","#A52A2A"
"6464","AARA009780","salmon","#FA8072"
"6465","AARA009781","grey","#BEBEBE"
"6466","AARA009782","black","#000000"
"6467","AARA009783","purple","#A020F0"
"6468","AARA009784","purple","#A020F0"
"6469","AARA009786","purple","#A020F0"
"6470","AARA009788","grey","#BEBEBE"
"6471","AARA009792","orange","#FFA500"
"6472","AARA009793","midnightblue","#191970"
"6473","AARA009795","salmon","#FA8072"
"6474","AARA009799","grey","#BEBEBE"
"6475","AARA009802","grey","#BEBEBE"
